Date,operating_hours,idle_hours,total_fuel,gal_hour,Shovel
2024-02-14,16.3,1.8,158.7,8.7,KOM 390-4
2024-02-15,17.8,1.3,172.7,9.0,KOM 390-9
2024-02-15,17.7,1.5,171.1,8.8,KOM 390-4
2024-02-16,18.0,1.3,173.6,8.9,KOM 390-4
2024-02-16,13.4,1.2,137.2,9.3,KOM 390-9
2024-02-17,7.4,0.4,74.3,9.4,KOM 390-9
2024-02-17,17.4,1.5,166.0,8.7,KOM 390-4
2024-02-18,13.0,1.1,125.1,8.8,KOM 390-4
2024-02-18,12.0,1.1,119.6,9.0,KOM 390-9
2024-02-19,13.2,1.4,137.1,9.3,KOM 390-9
2024-02-19,13.9,0.7,140.8,9.6,KOM 390-4
2024-02-20,15.5,0.8,155.1,9.4,KOM 390-4
2024-02-20,14.6,1.3,151.5,9.5,KOM 390-9
2024-02-21,16.0,1.2,161.1,9.3,KOM 390-4
2024-02-21,15.9,1.2,166.4,9.7,KOM 390-9
2024-02-22,14.0,0.9,140.8,9.4,KOM 390-4
2024-02-22,14.0,1.4,139.6,9.0,KOM 390-9
2024-02-23,17.8,1.3,186.2,9.7,KOM 390-9
2024-02-23,17.7,1.4,175.7,9.2,KOM 390-4
2024-02-24,17.8,1.4,182.4,9.5,KOM 390-9
2024-02-24,17.9,1.3,181.0,9.4,KOM 390-4
2024-02-25,12.2,2.0,124.3,8.7,KOM 390-9
2024-02-25,10.9,1.4,107.4,8.7,KOM 390-4
2024-02-26,13.3,1.0,130.6,9.1,KOM 390-4
2024-02-26,15.4,1.6,155.5,9.1,KOM 390-9
2024-02-27,13.9,0.9,142.7,9.5,KOM 390-9
2024-02-27,13.3,0.9,132.4,9.3,KOM 390-4
2024-02-28,18.7,2.3,191.0,9.0,KOM 390-9
2024-02-28,17.5,1.4,175.1,9.2,KOM 390-4
2024-02-29,18.0,1.5,178.7,9.1,KOM 390-4
2024-02-29,17.9,1.6,185.6,9.5,KOM 390-9
2024-03-01,17.7,1.6,176.6,9.1,KOM 390-4
2024-03-01,17.4,1.8,173.9,9.0,KOM 390-9
2024-03-02,17.5,2.1,177.9,9.0,KOM 390-9
2024-03-02,17.9,1.6,176.9,9.0,KOM 390-4
2024-03-03,12.6,1.3,122.7,8.7,KOM 390-4
2024-03-03,12.7,1.4,129.8,9.1,KOM 390-9
2024-03-04,12.5,1.3,124.7,9.0,KOM 390-4
2024-03-04,12.6,1.0,127.3,9.3,KOM 390-9
2024-03-05,17.2,1.8,171.3,8.9,KOM 390-9
2024-03-05,17.5,1.7,176.7,9.2,KOM 390-4
2024-03-06,17.5,1.6,175.1,9.1,KOM 390-4
2024-03-06,16.8,2.0,158.1,8.3,KOM 390-9
2024-03-07,17.2,1.9,178.8,9.3,KOM 390-9
2024-03-07,17.4,2.0,171.7,8.8,KOM 390-4
2024-03-08,15.2,2.2,159.5,9.1,KOM 390-9
2024-03-08,16.3,1.6,160.5,8.9,KOM 390-4
2024-03-09,18.1,1.8,176.8,8.8,KOM 390-4
2024-03-09,17.6,1.4,179.7,9.4,KOM 390-9
2024-03-10,12.4,1.9,123.9,8.6,KOM 390-9
2024-03-10,13.3,0.8,133.0,9.3,KOM 390-4
2024-03-11,13.0,1.3,132.1,9.2,KOM 390-9
2024-03-11,13.4,1.0,133.4,9.2,KOM 390-4
2024-03-12,15.6,3.4,154.0,8.1,KOM 390-9
2024-03-12,16.0,3.2,155.2,8.1,KOM 390-4
2024-03-13,14.1,2.8,136.1,8.0,KOM 390-9
2024-03-13,14.9,1.8,148.4,8.8,KOM 390-4
2024-03-14,15.5,2.1,152.6,8.6,KOM 390-9
2024-03-14,16.4,1.4,162.4,9.1,KOM 390-4
2024-03-15,18.0,1.5,181.1,9.2,KOM 390-4
2024-03-15,17.2,2.1,168.5,8.7,KOM 390-9
2024-03-16,16.4,2.9,164.7,8.5,KOM 390-9
2024-03-16,16.6,1.7,164.9,9.0,KOM 390-4
2024-03-17,9.8,0.8,99.5,9.4,KOM 390-4
2024-03-17,10.0,0.5,97.8,9.2,KOM 390-9
2024-03-18,12.0,1.7,125.0,9.1,KOM 390-9
2024-03-18,11.6,1.4,114.8,8.8,KOM 390-4
2024-03-19,17.2,1.9,178.9,9.3,KOM 390-9
2024-03-19,17.1,2.0,170.7,8.9,KOM 390-4
2024-03-20,16.6,2.2,163.7,8.6,KOM 390-4
2024-03-20,17.3,1.5,179.0,9.5,KOM 390-9
2024-03-21,14.8,2.1,154.4,9.1,KOM 390-9
2024-03-21,14.5,3.0,138.5,7.9,KOM 390-4
2024-03-22,17.6,1.8,168.8,8.6,KOM 390-4
2024-03-22,17.2,2.2,178.9,9.2,KOM 390-9
2024-03-23,17.2,1.6,174.2,9.2,KOM 390-9
2024-03-23,17.5,1.6,170.3,8.9,KOM 390-4
2024-03-24,11.9,1.1,127.2,9.7,KOM 390-9
2024-03-24,11.4,1.6,113.5,8.6,KOM 390-4
2024-03-25,13.2,1.3,136.1,9.3,KOM 390-9
2024-03-25,13.6,1.0,134.9,9.2,KOM 390-4
2024-03-26,11.9,1.7,115.0,8.4,KOM 390-4
2024-03-26,15.1,2.3,147.4,8.4,KOM 390-9
2024-03-27,17.0,1.8,168.4,8.9,KOM 390-4
2024-03-27,17.8,1.3,178.8,9.3,KOM 390-9
2024-03-28,17.1,2.2,174.8,9.0,KOM 390-9
2024-03-28,17.1,2.1,166.8,8.7,KOM 390-4
2024-03-29,17.1,2.0,162.7,8.5,KOM 390-4
2024-03-29,17.7,1.4,181.8,9.5,KOM 390-9
2024-03-30,17.2,1.8,166.7,8.7,KOM 390-4
2024-03-30,17.6,1.5,182.1,9.5,KOM 390-9
2024-03-31,12.5,1.7,132.2,9.3,KOM 390-9
2024-03-31,11.4,1.6,107.7,8.2,KOM 390-4
2024-04-01,13.0,1.3,126.1,8.8,KOM 390-4
2024-04-01,11.8,1.5,120.4,9.0,KOM 390-9
2024-04-02,15.3,1.5,151.8,9.0,KOM 390-9
2024-04-02,17.0,2.1,167.6,8.7,KOM 390-4
2024-04-03,17.0,2.5,168.6,8.6,KOM 390-9
2024-04-03,17.0,2.1,165.7,8.6,KOM 390-4
2024-04-04,13.3,2.8,130.5,8.1,KOM 390-9
2024-04-04,14.1,2.4,136.4,8.2,KOM 390-4
2024-04-05,16.6,2.0,165.4,8.9,KOM 390-9
2024-04-05,16.4,2.2,161.7,8.6,KOM 390-4
2024-04-06,16.5,1.8,167.8,9.1,KOM 390-9
2024-04-06,15.5,2.6,152.6,8.4,KOM 390-4
2024-04-07,12.5,1.3,129.1,9.3,KOM 390-9
2024-04-07,10.6,3.3,104.3,7.4,KOM 390-4
2024-04-08,12.9,1.3,132.7,9.2,KOM 390-9
2024-04-08,12.5,1.5,122.5,8.7,KOM 390-4
2024-04-09,17.9,1.3,182.0,9.4,KOM 390-9
2024-04-09,16.7,2.3,158.9,8.3,KOM 390-4
2024-04-10,17.6,1.5,178.1,9.3,KOM 390-9
2024-04-10,15.8,2.3,146.8,8.1,KOM 390-4
2024-04-11,18.2,1.1,185.0,9.5,KOM 390-9
2024-04-11,17.6,2.3,161.1,8.1,KOM 390-4
2024-04-12,18.0,1.2,174.3,9.0,KOM 390-4
2024-04-12,18.4,0.9,181.0,9.4,KOM 390-9
2024-04-13,17.8,1.3,167.6,8.7,KOM 390-4
2024-04-13,7.8,1.4,71.9,7.7,KOM 390-9
2024-04-14,0.0,0.0,0.3,2.8,KOM 390-9
2024-04-14,11.1,1.9,106.2,8.1,KOM 390-4
2024-04-15,8.8,0.4,87.5,9.4,KOM 390-4
2024-04-15,0.0,0.0,0.0,0.7,KOM 390-9
2024-04-16,8.7,0.8,84.7,8.9,KOM 390-4
2024-04-16,0.2,0.2,1.5,2.7,KOM 390-9
2024-04-17,7.5,1.2,78.5,8.9,KOM 390-9
2024-04-17,8.5,0.6,83.2,9.1,KOM 390-4
2024-04-18,8.3,0.9,87.4,9.5,KOM 390-9
2024-04-18,8.9,0.8,89.1,9.1,KOM 390-4
2024-04-19,9.0,0.6,85.1,8.7,KOM 390-4
2024-04-19,8.9,0.5,91.6,9.6,KOM 390-9
2024-04-20,8.9,0.8,93.8,9.6,KOM 390-9
2024-04-20,9.2,0.6,88.8,9.0,KOM 390-4
2024-04-21,9.1,0.5,93.3,9.6,KOM 390-9
2024-04-21,9.3,0.6,92.0,9.2,KOM 390-4
2024-04-22,6.7,0.8,69.1,9.1,KOM 390-9
2024-04-22,6.4,0.4,64.4,9.3,KOM 390-4
2024-04-23,8.5,0.8,87.7,9.3,KOM 390-9
2024-04-23,8.7,0.5,86.4,9.3,KOM 390-4
2024-04-24,8.9,0.7,92.1,9.5,KOM 390-9
2024-04-24,9.1,0.4,89.6,9.3,KOM 390-4
