,Date,machine_hours,idle_percentage,operating_percentage,total_fuel,gal_hour,Shovel
1180,2024-10-10,11.025,8.0,92.0,68.8749,6.2472,CAT 349-6
1181,2024-10-09,9.561,26.0,74.0,87.75,9.1779,CAT 349-6
1182,2024-10-08,7.056,33.0,67.0,57.7498,8.1845,CAT 349-6
1183,2024-10-07,8.28,30.0,70.0,72.3749,8.7409,CAT 349-6
1184,2024-10-06,8.686,21.0,79.0,82.9999,9.5556,CAT 349-6
1185,2024-10-05,7.871,25.0,75.0,71.375,9.0681,CAT 349-6
1186,2024-10-04,11.996,12.0,88.0,122.9998,10.2534,CAT 349-6
1187,2024-10-03,10.964,19.0,81.0,105.2498,9.5996,CAT 349-6
1188,2024-10-02,8.426,18.0,82.0,78.5,9.3164,CAT 349-6
1189,2024-10-01,5.109,13.0,87.0,48.25,9.4441,CAT 349-6
1190,2024-09-30,7.178,22.0,78.0,64.7499,9.0206,CAT 349-6
1191,2024-09-29,2.351,26.0,74.0,17.8749,7.6031,CAT 349-6
1192,2024-09-28,7.852,24.0,76.0,66.8749,8.5169,CAT 349-6
1193,2024-09-27,9.211,9.0,91.0,98.8748,10.7344,CAT 349-6
1194,2024-09-26,7.858,21.0,79.0,70.4998,8.9717,CAT 349-6
1195,2024-09-25,6.984,19.0,81.0,66.8749,9.5754,CAT 349-6
1196,2024-09-24,8.086,9.0,91.0,82.75,10.2337,CAT 349-6
1197,2024-09-23,7.866,13.0,87.0,78.2499,9.9479,CAT 349-6
1198,2024-09-22,7.35,14.0,86.0,77.0001,10.4762,CAT 349-6
1199,2024-09-21,10.806,14.0,86.0,111.9999,10.3646,CAT 349-6
1200,2024-09-20,8.299,14.0,86.0,83.2498,10.0313,CAT 349-6
1201,2024-09-19,4.384,17.0,83.0,44.0,10.0365,CAT 349-6
1202,2024-09-18,3.618,14.0,86.0,36.6251,10.123,CAT 349-6
1203,2024-09-17,8.846,33.0,67.0,75.2499,8.5067,CAT 349-6
1204,2024-09-16,9.072,24.0,76.0,85.625,9.4384,CAT 349-6
1205,2024-09-15,8.858,24.0,76.0,82.875,9.3559,CAT 349-6
1206,2024-09-14,8.827,18.0,82.0,86.25,9.7712,CAT 349-6
1207,2024-09-13,7.342,33.0,67.0,63.0,8.5808,CAT 349-6
1208,2024-09-12,7.431,17.0,83.0,75.2499,10.1265,CAT 349-6
1209,2024-09-11,9.076,33.0,67.0,79.875,8.8007,CAT 349-6
1210,2024-09-10,9.015,26.0,74.0,84.125,9.3317,CAT 349-6
1211,2024-09-09,8.743,27.0,73.0,77.0001,8.807,CAT 349-6
1212,2024-09-08,8.996,27.0,73.0,82.875,9.2124,CAT 349-6
1213,2024-09-07,2.819,39.0,61.0,18.6249,6.6069,CAT 349-6
1214,2024-09-06,3.012,10.0,90.0,32.8749,10.9146,CAT 349-6
1215,2024-09-05,8.938,10.0,90.0,96.25,10.7686,CAT 349-6
1216,2024-09-04,9.445,7.0,93.0,104.4998,11.064,CAT 349-6
1217,2024-09-03,9.233,9.0,91.0,99.6251,10.7901,CAT 349-6
1218,2024-09-02,9.408,10.0,90.0,101.4999,10.7887,CAT 349-6
1219,2024-09-01,9.122,4.0,96.0,100.5,11.0173,CAT 349-6
1220,2024-08-31,3.81,26.0,74.0,32.3751,8.4974,CAT 349-6
1221,2024-08-30,0.922,60.0,40.0,5.3751,5.8298,CAT 349-6
1222,2024-08-29,9.316,13.0,87.0,92.625,9.9426,CAT 349-6
1223,2024-08-28,9.407,8.0,92.0,99.0,10.5241,CAT 349-6
1224,2024-08-27,9.308,15.0,85.0,93.6249,10.0585,CAT 349-6
1225,2024-08-26,3.207,16.0,84.0,32.3751,10.0951,CAT 349-6
1226,2024-08-25,8.881,11.0,89.0,95.2499,10.7251,CAT 349-6
1227,2024-08-24,8.174,9.0,91.0,90.1249,11.0258,CAT 349-6
1228,2024-08-23,8.812,14.0,86.0,91.8751,10.4261,CAT 349-6
1229,2024-08-22,2.828,37.0,63.0,19.6251,6.9396,CAT 349-6
1230,2024-08-21,0.604,58.0,42.0,3.2501,5.381,CAT 349-6
1231,2024-08-20,1.938,57.0,43.0,9.3749,4.8374,CAT 349-6
1232,2024-08-19,1.443,76.0,24.0,4.7501,3.2918,CAT 349-6
1233,2024-08-18,1.16,60.0,40.0,3.8749,3.3404,CAT 349-6
1234,2024-08-17,9.351,8.0,92.0,101.25,10.8277,CAT 349-6
1235,2024-08-16,9.342,7.0,93.0,105.8749,11.3332,CAT 349-6
1236,2024-08-15,9.391,13.0,87.0,100.2498,10.6751,CAT 349-6
1237,2024-08-14,0.055,91.0,9.0,0.125,2.2719,CAT 349-6
1238,2024-08-13,1.46,75.0,25.0,4.4999,3.0821,CAT 349-6
1239,2024-08-12,0.466,86.0,14.0,1.1248,2.4138,CAT 349-6
1240,2024-08-11,,,,,,CAT 349-6
1241,2024-08-10,,,,,,CAT 349-6
1242,2024-08-09,,,,0.125,,CAT 349-6
1243,2024-08-08,0.259,58.0,42.0,0.75,2.8957,CAT 349-6
1244,2024-08-07,0.234,43.0,57.0,0.8749,3.739,CAT 349-6
1245,2024-08-06,,,,0.3749,,CAT 349-6
1246,2024-08-05,0.063,79.0,21.0,0.2499,3.9668,CAT 349-6
1247,2024-08-04,0.125,40.0,60.0,0.3749,2.9989,CAT 349-6
1248,2024-08-03,0.469,64.0,36.0,2.25,4.7973,CAT 349-6
1249,2024-08-02,8.951,8.0,92.0,97.75,10.9206,CAT 349-6
1250,2024-08-01,9.404,5.0,95.0,101.25,10.7667,CAT 349-6
1251,2024-07-31,9.874,10.0,90.0,99.2499,10.0516,CAT 349-6
